Player,Team,Pos,G2,MP2,G,GS,MP,FG,FGA,FGP,ThPt,ThPtA,ThPtP,TwoPt,TwoPtA,TwoPtP,FT,FTA,FTP,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Erica Wheeler,IND,G,34,811,34,25,811,114,273,.418,17,57,.298,97,216,.449,40,48,.833,18,72,95,23,1,68,88,285
Elizabeth Williams,ATL,C-F,34,1179,34,34,1179,157,355,.442,0,1,.000,157,354,.444,92,133,.692,106,276,42,26,79,42,105,406
Monica Wright,SEA,G,16,98,16,0,98,8,26,.308,1,10,.100,7,16,.438,3,5,.600,1,8,11,7,1,14,15,20
Tanisha Wright,NYL,G,29,668,29,28,668,79,197,.401,4,17,.235,75,180,.417,33,46,.717,23,67,104,26,5,67,69,195
Marta Xargay,PHO,G,15,296,15,6,296,30,75,.400,13,39,.333,17,36,.472,12,17,.706,10,26,41,17,3,27,55,85
Tamera Young,CHI,F,32,824,32,20,824,112,249,.450,0,2,.000,112,247,.453,49,62,.790,44,145,46,24,4,35,84,273
Amanda Zahui B.,NYL,C,33,374,33,1,374,57,127,.449,3,16,.188,54,111,.486,48,61,.787,42,104,12,11,22,37,69,165
Shavonte Zellous,NYL,G,33,770,33,1,770,91,226,.403,5,26,.192,86,200,.430,103,121,.851,18,81,73,29,6,44,64,290
Kelsey Bone,TOT,C,34,528,34,13,528,87,208,.418,4,17,.235,83,191,.435,31,46,.674,33,125,29,13,4,51,77,209
Blake Dietrick,TOT,G,3,14,3,0,14,1,2,.500,0,1,.000,1,1,1.000,2,2,1.000,0,3,0,0,0,1,1,4
Markeisha Gatling,TOT,C,27,232,27,2,232,26,55,.473,0,0,,26,55,.473,15,16,.938,21,47,8,5,8,20,50,67
Lindsey Harding,TOT,G,26,443,26,3,443,38,106,.358,2,8,.250,36,98,.367,22,25,.880,4,50,62,12,2,25,34,100
Whitney Knight,TOT,G,10,38,10,0,38,2,15,.133,2,11,.182,0,4,.000,0,0,,1,5,2,2,2,2,5,6
Noelle Quinn,TOT,G,33,407,33,0,407,22,81,.272,2,22,.091,20,59,.339,11,12,.917,2,47,50,14,5,29,36,57
Avery Warley-Talbert,TOT,C,3,15,3,0,15,0,3,.000,0,0,,0,3,.000,0,0,,1,3,1,0,1,1,2,0
Courtney Williams,TOT,G,25,351,25,0,351,68,166,.410,8,27,.296,60,139,.432,12,21,.571,28,76,30,12,3,21,30,156
Kelsey Bone,CON,C,14,334,14,13,334,61,141,.433,4,15,.267,57,126,.452,24,36,.667,18,76,18,10,3,26,43,150
Blake Dietrick,SEA,G,2,6,2,0,6,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,1,1,2
Markeisha Gatling,SEA,C,11,64,11,0,64,9,17,.529,0,0,,9,17,.529,7,7,1.000,5,9,1,1,3,10,19,25
Lindsey Harding,NYL,G,5,114,5,3,114,8,25,.320,0,3,.000,8,22,.364,2,2,1.000,1,14,18,1,0,6,10,18
Whitney Knight,LAS,G,7,27,7,0,27,2,10,.200,2,7,.286,0,3,.000,0,0,,1,3,1,2,2,2,3,6
Noelle Quinn,PHO,G,13,129,13,0,129,7,29,.241,1,10,.100,6,19,.316,6,7,.857,1,12,18,5,3,10,20,21
Avery Warley-Talbert,ATL,C,1,4,1,0,4,0,2,.000,0,0,,0,2,.000,0,0,,0,1,0,0,0,1,2,0
Courtney Williams,PHO,G,6,25,6,0,25,1,9,.111,0,1,.000,1,8,.125,1,2,.500,1,7,2,0,0,2,1,3
Kelsey Bone,PHO,C,20,194,20,0,194,26,67,.388,0,2,.000,26,65,.400,7,10,.700,15,49,11,3,1,25,34,59
Blake Dietrick,SAS,G,1,8,1,0,8,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,3,0,0,0,0,0,2
Markeisha Gatling,ATL,C,16,168,16,2,168,17,38,.447,0,0,,17,38,.447,8,9,.889,16,38,7,4,5,10,31,42
Lindsey Harding,PHO,G,21,329,21,0,329,30,81,.370,2,5,.400,28,76,.368,20,23,.870,3,36,44,11,2,19,24,82
Whitney Knight,SAS,G,3,11,3,0,11,0,5,.000,0,4,.000,0,1,.000,0,0,,0,2,1,0,0,0,2,0
Noelle Quinn,SEA,G,20,278,20,0,278,15,52,.288,1,12,.083,14,40,.350,5,5,1.000,1,35,32,9,2,19,16,36
Avery Warley-Talbert,SAS,C,2,11,2,0,11,0,1,.000,0,0,,0,1,.000,0,0,,1,2,1,0,1,0,0,0
Courtney Williams,CON,G,19,326,19,0,326,67,157,.427,8,26,.308,59,131,.450,11,19,.579,27,69,28,12,3,19,29,153
